,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
117,R_2Y4dr3iS5xKDKj0,Yes,22-39,Male,North America,Something that is consistant.  can be maintained,Mostly true,Mostly true,Mostly true,Neutral,Every 3 months,the quality,a good deal on slacks,clothes that are durable and would last for several years,Yes,Neutral,Mostly true,Disagree,1
118,R_xxuhCDypefVRLY5,Yes,22-39,Male,North America,Something that can stand the test of time and be just as good as when it was new.,Mostly true,Mostly true,Mostly true,Very important,Monthly,What store i buy it from.,More unique clothes that other people don't have.,Clothes that you can put through anything and be just as good as new after you wash them.,Yes,Agree,TRUE,Disagree,1
119,R_3IVUcjpvsKmqoZn,Yes,22-39,Male,North America,Sustainability is being able to keep the same level of something over a long period of time.,Neutral,Mostly not true,Neutral,Important,Every 6 months,How much I plan on spending.,What I need quickly so I can finish shopping quickly.,Clothing made with recycled materials.,Maybe/Not sure,Disagree,Mostly true,Neutral,0
120,R_1ltttAalEMbOvL7,Yes,22-39,Female,North America,Sustainbility means to be supported or having a way to be hold strong to problems.,Not true,TRUE,Not true,Very important,Every 3 months,making sure it lasts a long time because I have to preserve my clothes.,clothes that are in my size.,Sustainable clothing are clothes that are made of good quality and lasts a long time.,Yes,Agree,TRUE,Strongly disagree,1
121,R_0dhdqzTDNfSegSJ,Yes,22-39,Male,Asia,the ability to be maintained at a certain rate or level.,TRUE,TRUE,TRUE,Very important,Monthly,What I exactly need and why?,The best product for me and unique.,the ability to be maintained at a certain rate or level.,Yes,Disagree,TRUE,Agree,1
122,R_2TNWoInz6nh6yVu,Yes,22-39,Male,Asia,"Sustainability is dealing transparently and systemically with risk, uncertainty and irreversibility.and ensuring appropriate valuation, appreciation and restoration of nature and Integration of environmental, social, human and economic goals in policies and activities.
",Neutral,Mostly true,Mostly true,Important,Monthly,Quality and Price,Ratings and availabiltiy,Eco Friendly and good for skin,Yes,Agree,Neutral,Disagree,1
123,R_9zrXxiEFTIsLqsp,Yes,22-39,Male,South America,sustainability is passions,Neutral,Mostly not true,Neutral,Important,Monthly,,i am sad when this type,sustainable clothing means good dressing,Yes,Neutral,Mostly true,Strongly agree,1
124,R_2qElig8UMFtWjfq,Yes,22-39,Female,North America,Being able to produce your own resources and live off of them.,Mostly not true,Mostly not true,Mostly not true,Important,Every 3 months,Price,More afford a me options,Lasting a lifetime,Maybe/Not sure,Strongly disagree,Mostly true,Neutral,0
125,R_6tfY4qo4m84hPu9,Yes,22-39,Male,Asia,Maintaining quality and standards which are high level.,TRUE,TRUE,Mostly true,Very important,Every 3 months,I want to buy stylish models and some handmade cloths .,Quality of clothes and production of company and thier brand name which are eco friendly and socially responsibility.,"Environmentally friendly, organic , recycling.",Yes,Agree,TRUE,Strongly disagree,1
126,R_1pLMi4WpdPEGDQk,Yes,22-39,Female,Asia,The things which last for more time even facing opposite situations.,Neutral,Not true,Mostly true,Neutral,Every 6 months,Quality of clothes,Clothes which suit me and also cost affordable,Clothes which last for long time even after using and washing it many times.,Maybe/Not sure,Agree,Neutral,Strongly disagree,1
127,R_3oyGqX3jw7kPaA2,Yes,22-39,Male,Asia,The ability to be maintained at a certain rate or level.,TRUE,TRUE,TRUE,Very important,Monthly,Which brand or which shop to buy.,My choice.,Cloths manufactured by avoiding the depletion of natural resources in order to maintain an ecological balance.,Yes,Strongly agree,TRUE,Strongly disagree,1
128,R_28HApgv0xTUGgjY,Yes,22-39,Female,North America,ability to maintain,Mostly true,Mostly true,Neutral,Important,Every 6 months,comfort,long sizes,ability to maintain,No,Disagree,Neutral,Agree,0
129,R_DGZASRh9sQiGGZj,Yes,22-39,Male,North America,A resource which gets resupplied at the same rate or better than it's consumed.,Mostly true,Mostly true,Mostly true,Important,Monthly,Value,"A perfect fit at a reasonable price that is fair trade and crafted in an environmentally conscious ways, if we're making wishes.",Hard to find. Hard to know if you've found it. A big challenge in the clothing industry.,Yes,Neutral,Mostly true,Neutral,1
130,R_2v1crlxaStrY0Ro,Yes,22-39,Female,Asia,the ability to be maintained at a certain level,Mostly true,Mostly true,Mostly not true,Important,Monthly,purchase,perfect color,last color for long,Yes,Disagree,Mostly not true,Neutral,0
131,R_1Ebr2YsrzK1bKao,Yes,22-39,Other,North America,"Sustainability is something that will last for a long, indefinite period of time.",TRUE,TRUE,TRUE,Very important,Monthly,Price,Low-priced clothes created from good materials in an ethical way.,Clothing created by ethical means from materials that will be sustainable for generations.,Maybe/Not sure,Neutral,TRUE,Neutral,1
132,R_3CT4PWkCzlXwmLb,Yes,22-39,Female,North America,I would say it something that can be maintained at specific (or given levels),Neutral,Neutral,Neutral,Neutral,Monthly,the fit,more bottoms for girls with bigger thighs and butts but slim waists.,I would say it's clothing that can be produced in a way that does not harm nature.,Maybe/Not sure,Neutral,Neutral,Neutral,0
133,R_2Qlz48O8HhsIuBv,Yes,22-39,Female,North America,It means to renew the resources that are being used so they do not run out over time,Mostly true,Mostly true,Mostly true,Important,Monthly,whether it fits in my budget,"something at an affordable price point that looks good, feels comfortable and is made in a sustainable way",clothing that is made without permanently depleting resources,Yes,Neutral,Mostly true,Neutral,1
134,R_3xxX9l6WJKF57dD,Yes,22-39,Male,North America,The ability for something to be continuously maintained/ used indefinitely,TRUE,Mostly true,Mostly true,Very important,I avoid it at all costs!,function,Durable clothing that fits and functions as described that also has minimal impact on wallet and environment.,Made derived from materials and processes that have the least environmental repercussions,Yes,Agree,TRUE,Neutral,1
135,R_1i9CfL79FMSVfcG,Yes,22-39,Male,Asia,i will buy cloth to brand and quality and cost,Mostly true,Mostly true,Mostly true,Very important,Weekly,quality to brand,brand of cloth,quality and brand and cost,Yes,Agree,Mostly true,Disagree,1
136,R_DTD09Nq6JkXWqWZ,Yes,22-39,Male,North America,"Sustainable practices support environmental, human and economic health and vitality. Sustainability implies that resources are limited, and they should be used conservatively and reasonably, given the long-term priorities and consequences of resource use.",Mostly true,Mostly true,Mostly true,Important,Every 6 months,Is cloth a sustainable?,Comfortable and inexpensive clothing that will last a long time.,This is a kind of clothing that can be put into processing and for the production of which not recoverable natural resources were used.,Maybe/Not sure,Neutral,Mostly true,Disagree,1
137,R_2zjXm1MtHNef1Nj,Yes,22-39,Male,Asia,Sustainability is nothing but remains at a certain state and in a same position when more negative or positive things happened to us.,Mostly not true,Neutral,Mostly true,Important,Every 3 months,To buy at a reasonable rate.,The cloths I had in my mind.,Sustainable clothing is a thing that comes to us.,Maybe/Not sure,Disagree,Mostly not true,Neutral,0
138,R_tPNkSfnrV5Vnadb,Yes,22-39,Female,North America,maintaining at a certain level,Mostly true,Neutral,Mostly true,Very important,Monthly,where to shop,things that are different,maintaining a certain style,No,Agree,Not true,Neutral,0
139,R_SHQ43TiJ7PNaztv,Yes,22-39,Male,North America,Sustainability  is the ability to maintain yourself in everyday life. IE: sustaining day to day life on your own. Being able to buy food/clothing/etc.,Mostly true,Mostly true,Mostly true,Very important,Every 3 months,"If it fits, and I like it, I buy it.",Something that fits perfectly that I love.,In this sense as the prior questions have talked about sustainability I'm assuming you're referencing something environmentally friendly that doesn't harm any animals nor the environment.,Maybe/Not sure,Strongly disagree,Mostly not true,Neutral,0
140,R_R3ok3kfubD5oPcJ,Yes,22-39,Male,Asia,To be better and the endurance leavel of the cloth and quality,Mostly true,Mostly not true,Neutral,Important,Monthly,When some cloth is fade,Better one and which is suite for me,To cheack the cloth type,Yes,Neutral,TRUE,Strongly agree,0
141,R_27aua6sKSphKEhG,Yes,22-39,Male,Asia,sustainability is the ability to continue a defined behavior indefinitely,Mostly not true,TRUE,Neutral,Very important,Every 3 months,It's worth for my money and the cloth give a long life,It's be  branded one.,sustainable clothing refers to fabrics derived from eco-friendly,Maybe/Not sure,Neutral,Mostly true,Agree,0
142,R_210Y4SSr3sq8psV,Yes,22-39,Female,North America,"Sustainability is the ability for something to last. It's durability, but it's also the ability to be reused later. It's also a word used to describe products that don't contribute to the destruction of the environment.",TRUE,Mostly not true,Mostly not true,Slightly important,Weekly,"how the items make me feel, how they go with the rest of my clothes and how often I'll wear them","certain types of items I like in colors I like. I also have certain dream items in my mind that I'm always looking for. For example, there's a jacket that Phoebe wears in an episode of Friends, a dark green velvet blazer, and I've always wanted one.","It's clothes made in a sustainable way, whatever that means.",Maybe/Not sure,Neutral,Neutral,Neutral,0
143,R_3ekMoPVWEMk0IL1,Yes,22-39,Male,North America,Able to maintain without over use,Neutral,Mostly true,Mostly true,Very important,Every 6 months,Price,It quickly,Organic cotton no sweatshop,Maybe/Not sure,Neutral,Not true,Disagree,1
144,R_25AqOiTl3IFlOwz,Yes,22-39,Male,Asia,ability to keep in same level,Mostly true,Neutral,TRUE,Important,Monthly,buy brand,perfect size,last for long,Yes,Strongly agree,Mostly not true,Neutral,1
145,R_2Vq1KMW1vdIkoux,Yes,22-39,Male,North America,sustainability take responsibility for the impact we can make in the world,Neutral,Mostly true,Neutral,Very important,Monthly,price and design,I focus on the brands I like,"clothing made of recycled materials or with more efficient methods with the environment, there are brands that place these clothing eventually",Yes,Agree,Mostly true,Disagree,1
146,R_1qfx9LGGzz2usZP,Yes,22-39,Male,North America,"Something that can stand the test of time, durability and capable of lasting.",TRUE,TRUE,Mostly true,Very important,Monthly,ensuring that i am getting my money's worth.,"Affordable clothing, that is made in high quality fabric.",Clothing that can last a while and not get washed out or loosen up.,Yes,Agree,TRUE,Disagree,1
147,R_23eEFSSBl970Dld,Yes,22-39,Male,Asia,Sustainability means the ability to be maintained at a certain rate or level,Mostly not true,Neutral,Mostly true,Important,Monthly,good quality,,,Yes,Neutral,TRUE,Strongly agree,1
148,R_1gBJNC9ixCmOxwH,Yes,22-39,Male,North America,"Repeatable patterns.  In the case of living, sustainability might indicate health or well-being.",Mostly true,Neutral,Neutral,Important,Monthly,Comfortable to wear,T-shirts for tall people that are comfortable,Clothes that are comfortable and don't tear up quickly,Yes,Agree,Mostly true,Disagree,1
